"Country","Name","Race","Profession","Religion","Deity","Age","Date"
"Éngsvanyáli","Ma'áz Khólu","H","Minister","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Márya of Tsámra","H","Famous Sculptor","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Melénde","H","Heroine of the Age","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Messíliu Badárian","H","Scholar","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Méttkeng of Gánga","H","Scholar","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Mettukéu Fershena","H","Hero of the Age","Change","Ksárul","Unk","4th Ep"
"Éngsvanyáli","Mézhmü Odhó Bezhmöllü","H","Scholar","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Mi'itesh Khéssa","H","Scholar","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Mikotlangme of Purdánim","H","Law Codifier","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Mikúnu Feyá","H","Poet","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Milézha Tlalésu","H","Priestess","Change","Sárku","Unk","1st Ep"
"Éngsvanyáli","Miridú Rekkánmu","H","Sage","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Misuénde Fe'é","H","Court Entertainer","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Misumiyén","H","Princess","Unk","Unk","Unk","Last Emp"
"Éngsvanyáli","Monster of Burru Isle","H","Prince","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Mshurúish","H","Sailor","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Murudlánte Vürözhéka","H","Ruler (Béy Sü)","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Nashkólen Mssá","H","Ruler ","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Nenén Muéla","H","Poet","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Nénu Bashátla","H","Artist","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Nethándu Ssanyússa","H","Scholar","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Nettukire Ssonmara","H","Poet","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Nía Alél","H","Servant/Model","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Niyunéth Tlatoyél","H","Traitoress","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Norómbe Sékha","H","Ruler ","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Ntés Ktík","Pé","Chamberlain","Pé","Unk","Unk","3rd Ep"
"Éngsvanyáli","Numinátlu Veshkúma","H","Minister","Stability","Keténgku","Unk","4th Ep"
"Éngsvanyáli","Pa'akhán","H","Writer","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Pantínu","H","Poetess","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Pirundáyu","H","Architect","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Piruvé","H","Princess","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Psankothóth","H","Poet","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Ravinan of Thráya","H","Priest","Stability","Belkhánu","Unk","Unk"
"Éngsvanyáli","Rekmílish I","H","Ruler (Jakálla)","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Rekmílish II","H","Ruler (Jakálla)","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Rekmílish III","H","Ruler (Jakálla)","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Ressúma Tlángtu","H","Actor","Unk","Unk","Unk","2nd Ep"
"Éngsvanyáli","Sa'alúr of Jakálla","H","Fabled Strategist","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Sáima Dlakotánte","H","Wife of Amukanatl","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Saléya Dlékku","H","Priestess","Stability","Avánthe","Unk","3rd Ep"
"Éngsvanyáli","Sanílish Chitéyu","H","Scholar","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Shekkéndu Ssá","H","Priest-King (Zhékkat)","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Tariné Váyka","H","Philosopher","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Tejmóshu","H","Minister","Unk","Unk","Unk","Unk"
"Éngsvanyáli","Teshéngtu Tlekólmu","H","Ruler (Tumíssa)","Unk","Unk","Unk","1st Ep"
"Éngsvanyáli","Tirisán Jakóna","H","Priest","Stability","Belkhánu","Unk","1st Ep"
"Éngsvanyáli","Titisánte Melél","H","Archon (Blue, Vrá)","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Tlékku Beshyéne","H","Scholar","Unk","Unk","Unk","3rd Ep"
"Éngsvanyáli","Tlékumasén","H","Emperor's Wife","Unk","Unk","Unk","4th Ep"
"Éngsvanyáli","Vikkumékyar","H","Archon (Orange)","Unk","Unk","Unk","Flower"
"Éngsvanyáli","Vriudái Vrázhimü","H","Scholar","Change","Ksárul","Unk","3rd Ep"
"Éngsvanyáli","Yahéshu Sarél","H","Priest (Scholar)","Stability","Thúmis","Unk","3rd Ep"
"Éngsvanyáli","Yetíl","H","Poet","Unk","Unk","Unk","1st Ep"
"Ghatón","Chgá Njú","H","Soldier","Unk","Unk","Unk","2354 AS"
"Ghatón","Erbak Chiron","H","Cook/Poisoner","Unk","Unk","Unk","2347 AS"
"Ghatón","Ernak Chrion","H","Cook","Unk","Unk",32,"2354 AS"
"Ghatón","Tejmóshu","H","Official (Éngsvanyáli)","Unk","Unk","Unk","Unk"
"Ghatón","Helé'a","H","Spy","Unk","Unk","Unk","2360 AS"
"Ghatón","Tjáò Vibáà","H","Soldier","Unk","Unk","Unk","2360 AS"
"Jánnu","Menaho Shau Jánnu","H","King","Unk","Unk","Unk","2354 AS"
"Kilalámmu","Chalamuren Churitáshmu","H","Sunstaff Bearer","Unk","Unk","Unk","2372 AS"
"Kilalámmu","Chojjén Jáshkünai","H","Ruler (Sirsúm)","Unk","Unk","Unk","2360 AS"
"Kilalámmu","Dikosu Vai","H","Unk","Unk","Unk",32,"2354 AS"
"Kilalámmu","The Young Master","H","Reformer","Unk","Unk","Unk","2362 AS"
"Kilalámmu","Zugratsu","H","Chieftain","Unk","Unk","Unk","2372 AS"
"Livyánu","Achao Mse Biyobanaz","H","Diplomat","Shadow","Ru'ungkáno",66,"2354 AS"
"Livyánu","Ajesh","H","Courtesan","Unk","Unk",32,"2354 AS"
"Livyánu","Arkuo Minaz","H","Nobleman","Unk","Unk",23,"2354 AS"
"Livyánu","Anjésh Gómu","H","Gij & Sons","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Aoz Mishantle","H","Merchant","Shadow","One of Fears",32,"2354 AS"
"Livyánu","Apáz Hé'u","H","Unk","Shadow","Kikumársha","Unk","2367 AS"
"Livyánu","Argonáz","H","Pimp","Unk","Unk","Unk","2360 AS"
"Livyánu","Arkannu Deletheb","H","Courtesan","Unk","Unk",18,"2354 AS"
"Livyánu","Arkuo Minaz","H","Refugee","Unk","Unk","Unk","2354 AS"
"Livyánu","Arkúvuz Dorúa","H","Tanner","Unk","Unk","Unk","2367 AS"
"Livyánu","Arrukaz Ma'asen","H","Lord","Shadow","Ndárka",32,"2354 AS"
"Livyánu","Arsummaz","H","Undertaker","Shadow","One of Fears",32,"2354 AS"
"Livyánu","Artúz Halúz Dió","H","Soldier","Shadow","Unk","Unk","2354 AS"
"Livyánu","Arúmaz Dlévu","H","Weapons Instructor","Unk","Unk","Unk","2354 AS"
"Livyánu","Ásqar Gyardánaz, Dumúz","H","Ruler","Shadow","Qame'él","Unk","2360 AS"
"Livyánu","Báleth Káng Méku","H","Syndic","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Báluab Hé'u","H","Wife of Apáz","Shadow","Kikumársha","Unk","2367 AS"
"Livyánu","Biyobanaz Achao Mse","H","Legate","Shadow","Unk","Unk","2354 AS"
"Livyánu","Búoz Reosámrüz","H","Merchant-Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Chákkunaz","H","Servant","Shadow","Unk","Unk","2360 AS"
"Livyánu","Chákmaz","H","Soldier","Shadow","Unk","Unk","2367 AS"
"Livyánu","Cháomiz Kitáz, Dumúz","H","Priest-Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Chathtu'éltu Demil","H","Unk","Unk","Unk","Unk","2354 AS"
"Livyánu","Cháuvaz Deshshuqómez","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Chékme Káng Nékko","H","Syndic","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Chélez","H","Soldier","Shadow","Unk","Unk","2367 AS"
"Livyánu","Chigáz","H","Unk","Shadow","Unk","Unk","2367 AS"
"Livyánu","Chímudaz Gátha","H","Priest","Shadow","Ru'ungkáno","Unk","2360 AS"
"Livyánu","Chitlaz Qaséyo","H","Priest","Shadow","Quyó","Unk","2367 AS"
"Livyánu","Chiyuváz of Náth-Sùnù","H","Writer","Shadow","Unk","Unk","2367 AS"
"Livyánu","Chni T'kop","Tin","Sorcerer","Tin","Unk",32,"2354 AS"
"Livyánu","Chorgház Líu Tláshte","H","Prelate","Shadow","Unk","Unk","2367 AS"
"Livyánu","Chrí'iz Baosámüz, Dumúz","H","Priest-Soldier","Shadow","Qame'él","Unk","2360 AS"
"Livyánu","Chúny Nyédz Boízhu","H","Priest-Soldier","Shadow","Guodái","Unk","2360 AS"
"Livyánu","Dáileb Essúra","H","Resistance Fighter","Unk","Unk","Unk","2354 AS"
"Livyánu","Dálayeb of Red Moon Beach","H","Prostitute","Unk","Unk","Unk","2360 AS"
"Livyánu","Dekune Miriyeb","H","Courtesan","Shadow","Kirrinéb",18,"2354 AS"
"Livyánu","Déuz Káng-Mmrál","H","Soldier","Shadow","One of Fears","Unk","2360 AS"
"Livyánu","Dlaké Erúva","H","Policeman","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Dloó Néma","H","Syndic","Shadow","Unk","Unk","2367 AS"
"Livyánu","Do'ónish Divráimu","H","Soldier","Unk","Unk","Unk","2360 AS"
"Livyánu","Dúmuab Dísib Cháoseb","H","Soldier","Shadow","Kirrinéb","Unk","2360 AS"
"Livyánu","Dú'uz Saomiré","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Dúmuab Káeb Esúeb","H","Priestess-Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Dyáomaz Shritlimáno, Dumúz","H","Soldier","Shadow","Horned One","Unk","2360 AS"
"Livyánu","Dzin","H","Girl","Unk","Unk","Unk","2354 AS"
"Livyánu","Éasyz Aovíddeb, Dumúz","H","Priest-Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Elóya","H","Wizard-King","Unk","Unk","Unk","-2640 AS"
"Livyánu","Eóz Druób Shienáz","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Esraiu K'kes","H","Sorcerer","Unk","Unk",32,"2354 AS"
"Livyánu","Esudáz","H","Chamberlain","Unk","Unk","Unk","2360 AS"
"Livyánu","Ettó","Tin","Unk","Tin","Unk","Unk","2354 AS"
"Livyánu","Eúniz Disúlu-Káng-Dlók","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Eúz Asomu","H","Soldier","Shadow","Kikumársha","Unk","2360 AS"
"Livyánu","Eúz Mísheb","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Fórudaz Giyán","H","Tanner","Shadow","Unk","Unk","2367 AS"
"Livyánu","Gámuz Fodóa","H","Unk","Unk","Unk","Unk","2354 AS"
"Livyánu","Gekkúz Káng Tlén","H","Unk","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Gemén Léthlun Misedim","H","Vat Mistress","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Gúoz Bilitanúu","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Gyúmiz Nmíriz, Dumúz","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Háiz Úo","H","Soldier","Shadow","Ru'unkáno","Unk","2360 AS"
"Livyánu","Hákuz Rérusa","H","Unk","Unk","Unk","Unk","2367 AS"
"Livyánu","Haumáiz So'ó","H","Sailor","Shadow","Unk","Unk","2360 AS"
"Livyánu","Heomúlüz Káng-Dlók","H","Soldier","Shadow","One of Fears","Unk","2360 AS"
"Livyánu","Hngaku","H","Lord","Shadow","Unk",32,"2354 AS"
"Livyánu","Hss-nn-Skü","Shén","Soldier","Shén","Unk","Unk","2354 AS"
"Livyánu","Húoz Milsaóz","H","Soldier","Shadow","Ndárka","Unk","2360 AS"
"Livyánu","Isu'ab","H","Courtesan","Unk","Unk",32,"2354 AS"
"Livyánu","Jómuz","H","Son of Apáz","Shadow","Unk","Unk","2367 AS"
"Livyánu","Kandesa Kormuz","H","Official","Shadow","Qame'él",51,"2354 AS"
"Livyánu","Ka'oz Psu'o Suriz","H","Diplomat","Shadow","Unk",48,"2354 AS"
"Livyánu","Karunaz hiAsuaz","H","Enforcer","Unk","Unk","Unk","2354 AS"
"Livyánu","Ká-Tésh","Tin","Unk","Tin","Unk","Unk","2367 AS"
"Livyánu","Kétkorez Tanákku","H","Lord","Shadow","Unk","Unk","2360 AS"
"Livyánu","Khálakuz Tíche","H","Unk","Unk","Unk","Unk","2367 AS"
"Livyánu","Kítumish","H","Slave","Unk","Unk","Unk","2367 AS"
"Livyánu","K'nés","Tin","Poisoner","Tin","Unk","Unk","2367 AS"
"Livyánu","Kóduz Chráio","H","Priest","Shadow","Unk","Unk","2367 AS"
"Livyánu","Kormuz Kandesa","H","Diplomat","Shadow","Unk","Unk","2354 AS"
"Livyánu","Kra'a Miyab","H","Unk","Unk","Unk",32,"2354 AS"
"Livyánu","Kuruktén","H","Scholar","Unk","Unk","Unk","2354 AS"
"Livyánu","Láilueb","H","Chief wife of Kétkorez","Unk","Unk","Unk","2354 AS"
"Livyánu","Líu Tláshte","H","Unk","Shadow","Unk","Unk","2367 AS"
"Livyánu","Mékkutaz Anyál","H","Priest","Shadow","Unk","Unk","2367 AS"
"Livyánu","Mélunez Chi'úna, Dumúz","H","Scholar","Shadow","Unk","Unk","Dúru'ob"
"Livyánu","Méshab","H","Daughter of Apáz","Shadow","Unk","Unk","2367 AS"
"Livyánu","Míkkunuz","H","Grandchild of Mríduz","Shadow","Unk","Unk","2367 AS"
"Livyánu","Míkuz Easámüz","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Miyab Kra'a","H","Courtesan","Shadow","One of Fears",32,"2354 AS"
"Livyánu","Mlileb","H","Aunt","Unk","Unk","Unk","2354 AS"
"Livyánu","Miriyeb Dekane","H","Courtesan","Shadow","Kirrinéb",18,"2354 AS"
"Livyánu","Mirure","N'lüs","Bodyguard","Change","Vimúhla","Unk","2360 AS"
"Livyánu","Mithésh Káng Bákko","H","Syndic","Shadow","One of Fears","Unk","Unk"
"Livyánu","Míuz Barátlab","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Miyutláyo Káng Seth","H","Syndic","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Mríduz Chíka","H","High Warden","Shadow","Kikumársha","Unk","2367 AS"
"Livyánu","Mrigonaz Árrio","H","Unk","Unk","Unk",29,"2354 AS"
"Livyánu","Mrío Jna'ón Súriz","H","Retired Sailor","Shadow","Unk","Unk","2360 AS"
"Livyánu","Mrío Jnao N Súriz","H","Unk","Unk","Unk",53,"2354 AS"
"Livyánu","Niáz Zhaggáo","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Nikkuleb","H","Daughter of Apáz","Shadow","Unk","Unk","2367 AS"
"Livyánu","Niudáomai Háosaz","H","Soldier","Shadow","Qame'él","Unk","2360 AS"
"Livyánu","Néttuz A'ám","H","Tailor's Apprentice","Shadow","Unk","Unk","2367 AS"
"Livyánu","Nyeranáz Dlékka","H","Philosopher","Unk","Unk","Unk","Unk"
"Livyánu","Otunúz Jála","H","Soldier","Shadow","Unk","Unk","2367 AS"
"Livyánu","Pamaviráz the Livyáni","H","Writer","Shadow","Unk","Unk","1367 AS"
"Livyánu","Páruvez Kórudu","H","Ruler (Dlásh)","Shadow","Unk","Unk","2367 AS"
"Livyánu","Piréltu Taqhomé","H","Dancer","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Qayéla Jna'ó Súriz","H","Daughter of Mrío","Shadow","Unk","Unk","2367 AS"
"Livyánu","Qayel Jnao N Súriz","H","Official","Unk","Unk",16,"2354 AS"
"Livyánu","Qelyúz","H","Servant of Chamberlain","Shadow","Unk","Unk","2360 AS"
"Livyánu","Rámetha Hélmu","H","Purveyor","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Rekteng","H","Unk","Change","Sárku",29,"2354 AS"
"Livyánu","Rétumez","H","Servant","Shadow","Unk","Unk","2360 AS"
"Livyánu","Rítumez So'ó","H","Aide-de-camp","Shadow","Unk","Unk","2367 AS"
"Livyánu","Riumáliz Mu'uvéliz","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Riumáliz Murúshu","H","Soldier","Shadow","Quyó","Unk","2360 AS"
"Livyánu","Riyuz","H","Scribe","Unk","Unk",32,"2354 AS"
"Livyánu","Rúoz Mashíu'uz","H","Soldier","Shadow","Unk","Unk","2354 AS"
"Livyánu","Sa'aráz","H","Merchant","Unk","Unk","Unk","2354 AS"
"Livyánu","Sárab","H","Grandchild of Mríduz","Unk","Unk","Unk","2367 AS"
"Livyánu","Sénjukaz Chigái, Dumúz","H","Priest","Shadow","Unk","Unk","2367 AS"
"Livyánu","Shardz","H","Sorcerer","Shadow","Kirrinéb",32,"2354 AS"
"Livyánu","Shenáz","H","Soldier","Shadow","Unk","Unk","2367 AS"
"Livyánu","Sheshn'ób","H","Sister of Ásqar","Shadow","Unk","Unk","2367 AS"
"Livyánu","Shéumayuz Buódla, Dumúz","H","Priest-Soldier","Shadow","Shadowed One","Unk","2360 AS"
"Livyánu","Shikoz Suriz","H","Official","Shadow","Unk","Unk","2367 AS"
"Livyánu","Síkuleb Dlésha","H","Unk","Unk","Unk","Unk","2354 AS"
"Livyánu","Sikuoz nSúriz","H","Official","Shadow","Unk",49,"2367 AS"
"Livyánu","Síruoz Mandákiz, Dumúz","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Síyuneb","H","Concubine","Shadow","Unk","Unk","2360 AS"
"Livyánu","Ssdrú-Ss-khâ","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Livyánu","Ss-Hrr-Ga","Shén","Soldier","Shén","Unk","Unk","2360 AS"
"Livyánu","Sukkaneb Árrio","H","Unk","Shadow","Unk",32,"2354 AS"
"Livyánu","Sukr Árrio","H","Unk","Shadow","Unk",32,"2354 AS"
"Livyánu","Súruz Dáshquz","H","Priest-Soldier","Shadow","Qame'él","Unk","2360 AS"
"Livyánu","Name Unpronounceable","SF","Sailor","SF","Unk","Unk","2360 AS"
"Livyánu","Tálivaz Árrio","H","Diplomat","Shadow","Qame'él",32,"2354 AS"
"Livyánu","Taktúz Dlá","H","Ship Wright","Unk","Unk","Unk","2367 AS"
"Livyánu","Tarsha Árrio","H","Warrior-Sorcerer","Shadow","Unk",32,"2354 AS"
"Livyánu","Te'énu","H","Soldier","Unk","Unk","Unk","2367 AS"
"Livyánu","Tékmuz Easámüz","H","Official","Shadow","Unk","Unk","2367 AS"
"Livyánu","Tétumuz Díya","H","Temple Gardener","Shadow","Unk","Unk","2367 AS"
"Livyánu","Thayara","H","Sorcerer","Unk","Unk","Unk","2354 AS"
"Livyánu","Tíudaz Murúshu","H","Priest-Official","Shadow","Ru'ungkáno","Unk","2360 AS"
"Livyánu","Tí Sà Qó","Tin","Soldier","Tin","Unk","Unk","2360 AS"
"Livyánu","T-lóya","H","Wizard King","Unk","Unk","Unk","-2633 AS"
"Livyánu","Toraz Árrio","H","Diplomat","Shadow","Kirrinéb",57,"2354 AS"
"Livyánu","Tsáuhl","H","Courtesan","Shadow","One of Fears",32,"2354 AS"
"Livyánu","Túoz Mísheb of Kakársh","H","Father of Eúz Mísheb","Shadow","Unk","Unk","2360 AS"
"Livyánu","Umüel Káng Shákh","H","Snydic-Priest","Shadow","One of Fears","Unk","2367 AS"
"Livyánu","Vrauqáz Hiusu'úmiz","H","Soldier","Shadow","Sea Goddess","Unk","2360 AS"
"Livyánu","Vúoz Kaodiz Cháqqib","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Yenueb Chaka","H","Sorceress","Unk","Unk",32,"2354 AS"
"Livyánu","Yuléneb Fálla","H","Instructor","Shadow","Unk","Unk","2354 AS"
"Livyánu","Zhúvaz Aodiólyz Qá","H","Soldier","Shadow","Unk","Unk","2360 AS"
"Livyánu","Vusómish Dáqqo","H","Soldier","Unk","Unk","Unk","2360 AS"
"Three States","Aís Chraí","H","Daughter of Kharaktáya","Unk","Unk","Unk","3 States"
"Three States","Kharaktáya","H","King","Unk","Unk","Unk","3 States"
"Llyáni","Llyán of Tsámra","H","Soldier-Adventurer","Unk","Unk","Unk","Llyáni Emp"
"Mihállu","Chunátl Dikkúna","H","Priest","Stability","Karakán","Unk","2361 AS"
"Mihállu","Dayétha Fashkólun","H","Translator","Unk","Unk","Unk","2361 AS"
"Mihállu","Horrükhü Jaggäsh","H","Merchant","Unk","Unk","Unk","2361 AS"
"Mihállu","Okkúru hiShahad","H","Translator (slave)","Unk","Unk","Unk","2361 AS"
"Mihállu","Shakkán","H","Agent","Stability","Unk","Unk","2361 AS"
"Mihállu","Sorúhi","H","Slave, Boy Servant","Unk","Unk","Unk","2361 AS"
"Mihállu","Tekkurén Chaishyáni","H","Soldier","Stability","Karakán","Unk","2361 AS"
"Mihállu","Tenggútla Dayyár","H","Prince","Stability","Unk","Unk","2361 AS"
